Duration (in seconds),Gender, Birth year,Age,Racial group,Ethnicity,Primary specialty,Type of community,DATA-Waiver,I feel worried about diversion or misuse of buprenorphine by patients for non-medical purposes.,The process to become qualified to prescribe buprenorphine is time-consuming.,I feel patients have limited access to OUDa services.,Administration of health services and facilities associated with OUDa treatment is properly managed.,I have concerns about interference from the DEAb in my practice.,The required training for prescribing buprenorphine through California Medical Association (CMA) seems challenging.,I have adequate staffing to properly manage patients on buprenorphine.,The reporting requirements to regulatory agencies prevent me from prescribing buprenorphine.,Stigma does NOT prevent me from treating OUD.a,I feel supported by the medical community and physician peers to treat OUD.a,I feel the reimbursement for prescribing buprenorphine is appropriate.,I feel adequately trained to manage patients with OUD.a,"In my practice, the demand for buprenorphine treatment is lacking.","In general, OUDa access (e.g., naloxone) in overdose cases are sufficient.",I have adequate space to properly manage patients on buprenorphine.,concerns related to buprenorphine prescribing that have not been addressed in the questions above.,Enter the drawing 
247,Male,1978,46,White,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Agree,Agree,Strongly agree,Neutral,Neutral,,Agree,Neutral,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Neutral,Agree,,Yes
352,Female,1965,59,White,Not Hispanic or Latino,Emergency Medicine,Urban,Yes,Strongly disagree,Neutral,Agree,Agree,Neutral,,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Disagree,"We see a lot of patients in our ED requesting MAT prescriptions that actually don't have any kind of emergency and could have been managed in the outpatient setting if there were adequate access to MAT clinics and PMDs who are comfortable with MAT.  We are happy to be part of the safety net for these patients, but it's kind of sad that our society has not created systems to treat these patients that function well enough or have enough access.  They should not have to come to the ED for routine Suboxone refills.",Yes
174,Male,1972,52,White,Not Hispanic or Latino,Emergency Medicine,Suburban,Yes,Disagree,Agree,Agree,Neutral,Agree,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Disagree,Strongly disagree,Agree,,Yes
190,Male,1954,70,Prefer not to respond to this question,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Strongly disagree,Agree,Neutral,Disagree,,Disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,,Yes
388,Male,1955,69,White,Not Hispanic or Latino,Internal Medicine,Suburban,Yes,Neutral,Agree,Strongly agree,Neutral,Disagree,,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Strongly disagree,Agree,I have retired from practice but when was prescribing was in a reasonably well supported university health center practice with substance abuse counselor and in-house mental health providers.  Patients often complex with dual diagnosis and need a team to manage optimally.  Isolated primary care providers going to need more clinical support to optimize implementing and ongoing care.,No
230,Male,1970,54,White,Not Hispanic or Latino,Emergency Medicine,Suburban,Yes,Neutral,Agree,Strongly agree,Disagree,Neutral,,Neutral,Agree,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Neutral,Obtaining out patient follow up after ED initiation is very difficult in many areas of the state.,Yes
160,Male,1966,58,White,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Disagree,Disagree,Agree,Disagree,Neutral,,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,,Yes
130,Male,1975,49,White,Not Hispanic or Latino,Addiction Medicine,Urban,Yes,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Disagree,Neutral,,Yes
257,Male,1953,71,White,Not Hispanic or Latino,Family/General Medicine,Rural,Yes,Neutral,Agree,Agree,Neutral,Disagree,,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,,Yes
163,Female,1982,42,White,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Disagree,Strongly disagree,Agree,Neutral,Disagree,,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Disagree,Agree,"I’m not sure what “adequate space” to treat patients means, I have physical space, but there are not enough pcps for patients to have adequate access… so not enough panel space",No
180,Male,1957,67,White,Not Hispanic or Latino,Psychiatry,Urban,Yes,Neutral,Disagree,Agree,Disagree,Disagree,,Neutral,Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Disagree,,Yes
215,Male,1961,63,White,Not Hispanic or Latino,Emergency Medicine,Urban,Yes,Disagree,Disagree,Agree,Strongly agree,Neutral,,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Neutral,Community pharmacy availability is sometimes difficult in my community.,No
139,Male,1965,59,White,Not Hispanic or Latino,Family/General Medicine,Suburban,Yes,Disagree,Disagree,Agree,Strongly disagree,Disagree,,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,,Yes
310,Male,1956,68,White,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Disagree,Disagree,Agree,Neutral,Disagree,,Agree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,"Pharmacies may not carry suboxone.  That means patients may have to wait to fill a prescription.  When that happens 
 patients may not return for care.",Yes
130,Male,1979,45,White,Not Hispanic or Latino,Emergency Medicine,Urban,No,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Strongly agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,,Yes
201,Male,1949,75,White,Not Hispanic or Latino,Addiction Medicine,Suburban,Yes,Neutral,Neutral,Strongly agree,Disagree,Strongly disagree,,Agree,Strongly disagree,Strongly agree,Agree,Neutral,Strongly agree,Strongly disagree,Disagree,Neutral,"Insurance coverage, cost",Yes
815,Male,1944,80,White,Prefer not to respond to this question,Others,Suburban,No,Disagree,Agree,Agree,Disagree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,"Buprenorphine is extremely effectivein treatment of cronic pain; yet there are several pratical problems:

[1] Organizational and administrative obstacles, most of which were listed in the questionnaire.
[2] Expense & insurance coverage
[3] Although the drug may be ideal for chronic pain in many cases, the patient may be stigmatized because of its frequent application in cases of opiate dependence.",Yes
187,Male,1949,75,White,Not Hispanic or Latino,Family/General Medicine,Rural,Yes,Disagree,Neutral,Agree,Agree,Neutral,,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,,No
147,Female,1985,39,American Indian or Alaska Native,Hispanic or Latino,Family/General Medicine,Suburban,No,Disagree,Strongly disagree,Strongly agree,Neutral,Agree,Strongly disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,Yes
205,Male,1946,78,White,Not Hispanic or Latino,Family/General Medicine,Urban,No,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,,Yes
87,Female,1981,43,Asian,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,,Yes
262,Male,1956,68,White,Not Hispanic or Latino,Others,Urban,Yes,Neutral,Strongly disagree,Strongly agree,Disagree,Disagree,,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Neutral,Agree,Widely different coverage between public and private insurers and among private insurers.  My patients have been stigmatized by retail pharmacy staff when filling buprenorphine prescriptions.,No
177,Male,1952,72,White,Not Hispanic or Latino,Internal Medicine,Suburban,Yes,Agree,Neutral,Neutral,Neutral,Neutral,,Neutral,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,no concerns except issues with dental problems from sublinguals,Yes
177,Female,1970,54,White,Not Hispanic or Latino,Family/General Medicine,Suburban,Yes,Agree,Neutral,Disagree,Agree,Disagree,,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,ER's lack of awareness that most primary care docs are qualified and capable of treating OUD yet still refer patients to addiction specialists which creates yet another barrier for treatment,Yes
146,Female,1957,67,White,Not Hispanic or Latino,Emergency Medicine,Urban,Yes,Strongly disagree,Neutral,Disagree,Agree,Strongly disagree,,Disagree,Strongly disagree,Disagree,Agree,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly agree,,Yes
189,Male,1954,70,White,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Disagree,Neutral,Disagree,Agree,Disagree,,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,,Yes
1747,Female,1975,49,White,Not Hispanic or Latino,Family/General Medicine,Suburban,No,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Disagree,,No
275,Male,1958,66,White,Hispanic or Latino,Family/General Medicine,Suburban,Yes,Agree,Strongly agree,Disagree,Disagree,Agree,,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly disagree,Disagree,Neutral,,Yes
110,Male,1965,59,Asian,Not Hispanic or Latino,Psychiatry,Urban,No,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,,Yes
263,Male,1951,73,White,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Strongly disagree,Agree,Strongly agree,Strongly disagree,Disagree,,Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Disagree,,No
149,Female,1980,44,Black or African American,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Agree,Agree,Neutral,Disagree,,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,,No
221,Male,1979,45,Asian,Not Hispanic or Latino,Internal Medicine,Suburban,No,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Neutral,Agree,Agree,Disagree,I think Naloxone is under use and has to be part of the discussion if we are going to discuss buprenorphine or subutex,Yes
144,Male,1956,68,White,Not Hispanic or Latino,Internal Medicine,Suburban,No,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,,Yes
257,Male,1949,75,White,Not Hispanic or Latino,Addiction Medicine,Urban,No,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,,Yes
167,Male,1980,44,White,Not Hispanic or Latino,Addiction Medicine,Urban,Yes,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,,Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Disagree,We need to normalize the prescription of MAT & MOUD. ,Yes
59488,Male,1970,54,White,Not Hispanic or Latino,Psychiatry,Urban,Yes,Neutral,Disagree,Disagree,Neutral,Neutral,,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Problematic polypharmacy ,Yes
295,Male,1980,44,Asian,Not Hispanic or Latino,Emergency Medicine,Suburban,No,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Neutral,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,,No
333,Female,1983,41,Asian,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Agree,Agree,Strongly disagree,Disagree,,Neutral,Disagree,Strongly agree,Neutral,,Neutral,Strongly disagree,Disagree,Agree,,No
145,Male,1991,33,Asian,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Agree,Agree,Neutral,Disagree,,Neutral,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,,No
175,Female,1979,45,White,Not Hispanic or Latino,Psychiatry,Suburban,Yes,Disagree,Strongly agree,Neutral,Neutral,Disagree,,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Agree,,No
282,Male,1980,44,Black or African American,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Disagree,Agree,Strongly agree,Agree,Disagree,,Strongly agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Buprenorphine lonely cannot be effective ,No
275,Male,1972,52,White,Not Hispanic or Latino,Emergency Medicine,Suburban,No,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,"There is a lack of resources in terms of follow up. When I prescribe buprenorphine, especially with initiation of treatment, I need to know that someone will be seeing the patient in the short term. This is almost always lacking so it leads to less prescribing of this useful medication. ",Yes
258,Male,1983,41,White,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Agree,Agree,Neutral,Disagree,,Neutral,Agree,Strongly disagree,Strongly agree,Agree,Neutral,Strongly agree,Strongly disagree,Agree,,Yes
161,Male,1952,72,White,Not Hispanic or Latino,Addiction Medicine,Suburban,Yes,Agree,Agree,Disagree,Agree,Disagree,,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,dental issues with sublingual tabs and film,Yes
436,Female,1983,41,Asian,Not Hispanic or Latino,Emergency Medicine,Rural,Yes,Agree,Disagree,Agree,Strongly disagree,Disagree,,Agree,Neutral,Agree,Neutral,Disagree,Strongly agree,Disagree,Neutral,Agree,,No
252,Male,1983,41,White,Not Hispanic or Latino,Psychiatry,Urban,Yes,Disagree,Agree,Agree,Neutral,Disagree,,Neutral,Disagree,Agree,Neutral,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,Thanks,Yes
248,Male,1984,40,White,Not Hispanic or Latino,Internal Medicine,Suburban,Yes,Disagree,Agree,Agree,Strongly agree,Disagree,,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,,Yes
29528,Female,1990,34,White,Prefer not to respond to this question,Family/General Medicine,Urban,No,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,,Yes
342,Female,1979,45,Black or African American,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Agree,Neutral,Agree,Disagree,Neutral,,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,Buprenorphine access among different races is not even,No
394,Female,1982,42,White,Not Hispanic or Latino,Family/General Medicine,Suburban,Yes,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,,Agree,Disagree,Strongly agree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Agree,,No
249,Male,1972,52,Asian,Not Hispanic or Latino,Addiction Medicine,Urban,Yes,Strongly agree,Neutral,Disagree,Neutral,Disagree,,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Agree,Strongly disagree,Agree,Strongly agree,,No
110,Male,1965,59,White,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Disagree,Agree,Disagree,Disagree,,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,No
236,Female,1967,57,White,Not Hispanic or Latino,Emergency Medicine,Urban,Yes,Strongly disagree,Neutral,Agree,Disagree,Disagree,,Disagree,Disagree,Strongly agree,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,"Even though we are part of the bridge program, we still have patients frequently coming back to us for their buprenorphine refills. I am happy to provide them and support their Sobriety journey, but the emergency department is not the best place for these patients. We need more Outpatient providers and clinics willing to prescribe and support them as well.",Yes
257,Male,1969,55,Asian,Not Hispanic or Latino,Internal Medicine,Suburban,Yes,Agree,Agree,Agree,Neutral,Neutral,,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,,Yes
178,Female,1982,42,White,Not Hispanic or Latino,Emergency Medicine,Rural,Yes,Disagree,Agree,Agree,Neutral,Disagree,,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Agree,,Yes
173,Male,1969,55,White,Not Hispanic or Latino,Family/General Medicine,Urban,No,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,"I use buprenorphine for pain control, not treating OUD, this survey doesn't clarify that distinction. just now OUD in my small part-time practice. 
",No
190,Male,1965,59,White,Not Hispanic or Latino,Others,Suburban,Yes,Disagree,Agree,Agree,Neutral,Agree,,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly agree,Neutral,Agree,Agree,,No
379,Male,1975,49,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Emergency Medicine,Suburban,No,Strongly disagree,Agree,Neutral,Agree,Strongly disagree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Agree,Strongly agree,,No
502,Male,1978,46,White,Prefer not to respond to this question,Addiction Medicine,Urban,Yes,Neutral,Agree,Agree,Disagree,Strongly disagree,,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,,Yes
461,Prefer not to answer,1981,43,White,Hispanic or Latino,Emergency Medicine,Suburban,Yes,Disagree,Agree,Agree,Neutral,Disagree,,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,,No
394,Non-binary,1983,41,Asian,Not Hispanic or Latino,Family/General Medicine,Rural,Yes,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,,Strongly agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,,No
186,Male,1971,53,White,Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Neutral,Agree,Disagree,Disagree,,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly disagree,Neutral,Agree,,No
203,Female,1970,54,Asian,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Strongly disagree,Agree,Agree,Neutral,Disagree,,Agree,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,NA,No
412,Male,1973,51,White,Hispanic or Latino,Others,Urban,Yes,Strongly disagree,Agree,Strongly agree,Disagree,Neutral,,Agree,Disagree,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,,No
164,Male,1974,50,Asian,Not Hispanic or Latino,Others,Urban,No,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly disagree,Neutral,Neutral,,Yes
223,Male,1973,51,White,Not Hispanic or Latino,Internal Medicine,Urban,No,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,,No
351,Female,1973,51,White,Not Hispanic or Latino,Addiction Medicine,Rural,Yes,Agree,Agree,Agree,Disagree,Neutral,,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Neutral,Agree,,No
338,Female,1979,45,White,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Agree,Agree,Neutral,Disagree,,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Disagree,Strongly disagree,Agree,,Yes
163,Male,1982,42,American Indian or Alaska Native,Not Hispanic or Latino,Addiction Medicine,Urban,Yes,Disagree,Agree,Agree,Neutral,Disagree,,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,,No
301,Male,1962,62,White,Hispanic or Latino,Addiction Medicine,Urban,Yes,Strongly disagree,Agree,Agree,Agree,Neutral,,Agree,Disagree,Strongly agree,Agree,Neutral,Strongly agree,Disagree,Disagree,Agree,,Yes
235,Female,1969,55,White,Not Hispanic or Latino,Addiction Medicine,Urban,Yes,Agree,Agree,Disagree,Neutral,Disagree,,Neutral,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Strongly agree,,Yes
187,Male,1958,66,White,Not Hispanic or Latino,Psychiatry,Suburban,Yes,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,,Strongly agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,,Yes
67,Male,1971,53,White,Not Hispanic or Latino,Addiction Medicine,Suburban,Yes,Disagree,Agree,Disagree,Neutral,Agree,,Disagree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,,Yes
237,Female,1976,48,Asian,Not Hispanic or Latino,Psychiatry,Urban,No,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,none!,No
815,Female,1971,53,Black or African American,Prefer not to respond to this question,Family/General Medicine,Urban,Yes,Strongly disagree,Neutral,Agree,Agree,Disagree,,Agree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,,No
126,Female,1968,56,White,Not Hispanic or Latino,Addiction Medicine,Suburban,Yes,Agree,Neutral,Neutral,Disagree,Disagree,,Neutral,Disagree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Neutral,Agree,,No
151,Male,1950,74,White,Not Hispanic or Latino,Addiction Medicine,Suburban,Yes,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,,No
244,Male,1967,57,White,Hispanic or Latino,Addiction Medicine,Suburban,Yes,Disagree,Neutral,Agree,Strongly agree,Agree,,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,,No
159,Male,1964,60,White,Not Hispanic or Latino,Internal Medicine,Suburban,Yes,Neutral,Agree,Disagree,Neutral,Agree,,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,none,Yes
369,Male,1958,66,Asian,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Agree,Agree,Agree,Disagree,Neutral,,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,,No
500,Male,1978,46,White,Hispanic or Latino,Addiction Medicine,Urban,Yes,Neutral,Agree,Disagree,Disagree,Neutral,,Strongly agree,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Neutral,,No
261,Female,1980,44,Asian,Not Hispanic or Latino,Emergency Medicine,Urban,Yes,Neutral,Strongly agree,Agree,Neutral,Disagree,,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,NA,No
4827,Female,1975,49,Asian,Not Hispanic or Latino,Addiction Medicine,Urban,Yes,Strongly disagree,Agree,Agree,Agree,Disagree,,Agree,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,NA,No
337,Male,1978,46,American Indian or Alaska Native,Not Hispanic or Latino,Emergency Medicine,Urban,Yes,Neutral,Agree,Agree,Neutral,Strongly disagree,,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,NA,No
174,Female,1982,42,American Indian or Alaska Native,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Strongly agree,Agree,Neutral,Strongly disagree,,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,NA,No
144,Female,1972,52,White,Not Hispanic or Latino,Addiction Medicine,Urban,No,Disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly agree,Neutral,Disagree,Agree,,No
491010,Male,1967,57,Asian,Not Hispanic or Latino,Family/General Medicine,Urban,No,Disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,,No
9685,Male,1975,49,Black or African American,Not Hispanic or Latino,Family/General Medicine,Suburban,Yes,Strongly agree,Agree,Agree,Strongly disagree,Neutral,,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,,No
597,Male,1955,69,White,Not Hispanic or Latino,Addiction Medicine,Urban,Yes,Neutral,Agree,Strongly agree,Neutral,Disagree,,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,,Yes
131,Female,1982,42,American Indian or Alaska Native,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Agree,Agree,Disagree,Disagree,,Neutral,Disagree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,Disagree,Agree,,No
115,Male,1985,39,Asian,Not Hispanic or Latino,Emergency Medicine,Urban,Yes,Neutral,Strongly agree,Agree,Strongly agree,Strongly disagree,,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,,No
117,Female,1987,37,Asian,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Neutral,Strongly agree,Agree,Agree,Strongly disagree,,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,,No
71,Male,1975,49,Asian,Not Hispanic or Latino,Addiction Medicine,Urban,Yes,Disagree,Agree,Agree,Disagree,Disagree,,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,,No
171,Female,1980,44,Asian,Not Hispanic or Latino,Emergency Medicine,Urban,Yes,Disagree,Agree,Agree,Agree,Disagree,,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,,No
262,Male,1958,66,White,Not Hispanic or Latino,Addiction Medicine,Suburban,Yes,Neutral,Disagree,Agree,Neutral,Agree,,Agree,Disagree,Strongly agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,The lack of psychiatrists and therapists is extremely challenging for patients. ,Yes
367,Female,1969,55,Black or African American,Not Hispanic or Latino,Emergency Medicine,Suburban,Yes,Strongly disagree,Neutral,Agree,Agree,Neutral,,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Disagree,,Yes
296,Male,1961,63,White,Not Hispanic or Latino,Addiction Medicine,Suburban,Yes,Disagree,Agree,Agree,Neutral,Agree,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Disagree,Strongly disagree,Agree,,Yes
905,Male,1972,52,White,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Strongly disagree,Agree,Neutral,Disagree,,Disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,,No
170,Female,1978,46,White,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Neutral,Agree,Strongly agree,Neutral,Disagree,,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Strongly disagree,Agree,,No
1004,Male,1966,58,White,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Neutral,Agree,Strongly agree,Disagree,Neutral,,Neutral,Agree,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Neutral,,No
154,Male,1979,45,White,Not Hispanic or Latino,Addiction Medicine,Urban,Yes,Disagree,Disagree,Agree,Disagree,Neutral,,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,,Yes